n,bubble-sort-assignments,bubble-sort-comparisons,insertion-sort-assignments,insertion-sort-comparisons,selection-sort-assignments,selection-sort-comparisons,stl-sort-assignments,stl-sort-comparisons,stl-stable-sort-assignments,stl-stable-sort-comparisons
0,0,0,0,0,0,0,0,0,0,0
10,27,35,27,18,30,45,27,27,38,24
25,201,299,201,91,75,300,95,96,158,94
50,903,1189,903,350,150,1225,281,338,328,235
100,2955,4544,2955,1084,300,4950,513,714,842,560
500,93747,123424,93747,31748,1500,124750,3425,5069,5320,4221
1000,367674,497960,367674,123557,3000,499500,7289,11710,12601,9431
2500,2241021,3119094,2241021,749506,7500,3123750,19491,31858,31688,25838
5000,9084000,12496720,9084000,3032999,15000,12497500,39149,68478,73259,56919
7500,19930281,28080495,19930281,6650926,22500,28121250,61058,109885,110030,93953
10000,34598826,49990629,34598826,11542941,30000,49995000,87700,154360,146595,124086
15000,79627584,112479459,79627584,26557527,45000,112492500,128697,250680,250088,203116
20000,142110150,199975635,142110150,47390049,60000,199990000,192330,333502,333386,268158
25000,221003247,312359735,221003247,73692748,75000,312487500,245482,412538,416771,339737
35000,434964561,612353722,434964561,145023186,105000,612482500,357605,606809,583562,502949
50000,891623142,1249881039,891623142,297257713,150000,1249975000,499737,908665,833518,729482
