n,bubble-sort-assignments,bubble-sort-comparisons,insertion-sort-assignments,insertion-sort-comparisons,selection-sort-assignments,selection-sort-comparisons,stl-sort-assignments,stl-sort-comparisons,stl-stable-sort-assignments,stl-stable-sort-comparisons
0,0,0,0,0,0,0,0,0,0,0
10,135,45,135,45,30,45,63,9,57,13
25,900,300,900,300,75,300,110,89,210,45
50,3675,1225,3675,1225,150,1225,225,218,423,111
100,14850,4950,14850,4950,300,4950,458,526,1063,266
500,374250,124750,374250,124750,1500,124750,2306,3574,6347,1898
1000,1498500,499500,1498500,499500,3000,499500,4620,8138,14701,4292
2500,9371250,3123750,9371250,3123750,7500,3123750,11754,25522,36773,12258
5000,37492500,12497500,37492500,12497500,15000,12497500,23516,56034,83563,27010
7500,84363750,28121250,84363750,28121250,22500,28121250,34766,83534,125347,43478
10000,149985000,49995000,149985000,49995000,30000,49995000,47040,122058,167131,59020
15000,337477500,112492500,337477500,112492500,45000,112492500,69540,182058,280701,94452
20000,599970000,199990000,599970000,199990000,60000,199990000,94088,264106,374273,128038
25000,937462500,312487500,937462500,312487500,75000,312487500,116588,329106,467847,165762
35000,1837447500,612482500,1837447500,612482500,105000,612482500,165684,498202,655001,238628
50000,3749925000,1249975000,3749925000,1249975000,150000,1249975000,233184,708202,935701,356520
