n,bubble-sort-assignments,bubble-sort-comparisons,insertion-sort-assignments,insertion-sort-comparisons,selection-sort-assignments,selection-sort-comparisons,stl-sort-assignments,stl-sort-comparisons,stl-stable-sort-assignments,stl-stable-sort-comparisons
0,0,0,0,0,0,0,0,0,0,0
10,0,9,0,9,30,45,18,18,32,21
25,0,24,0,24,75,300,74,75,130,68
50,0,49,0,49,150,1225,160,246,260,165
100,0,99,0,99,300,4950,328,629,719,386
500,0,499,0,499,1500,124750,1640,4571,4607,2730
1000,0,999,0,999,3000,499500,3288,10621,11213,5964
2500,0,2499,0,2499,7500,3123750,8712,34195,28035,15880
5000,0,4999,0,4999,15000,12497500,17432,75861,66069,34266
7500,0,7499,0,7499,22500,28121250,24872,113299,99107,56870
10000,0,9999,0,9999,30000,49995000,34872,166691,132141,73534
15000,0,14999,0,14999,45000,112492500,49752,249065,228213,121244
20000,0,19999,0,19999,60000,199990000,69752,363349,304285,157068
25000,0,24999,0,24999,75000,312487500,84804,453369,380357,194978
35000,0,34999,0,34999,105000,612482500,90468,624473,532501,293492
50000,0,49999,0,49999,150000,1249975000,169620,981703,760713,414960
