n,bubble-sort,insertion-sort,selection-sort,stl-sort,stl-stable-sort
0,0.000800,0.000400,0.000300,0.000500,0.000600
10,0.002200,0.002100,0.002900,0.002400,0.003300
25,0.010100,0.009000,0.010100,0.004300,0.007100
50,0.057000,0.049900,0.042300,0.008100,0.012000
100,0.136600,0.131800,0.116000,0.015000,0.022500
500,3.372800,3.289800,2.700900,0.079200,0.109200
1000,13.359900,13.296100,10.660200,0.167700,0.221800
2500,83.453300,82.514800,67.740700,0.496600,0.582900
5000,353.969100,185.324500,140.544500,0.557600,0.658200
7500,456.504100,393.385000,337.516900,0.905600,1.222600
10000,774.006200,764.473300,1013.577300,2.227600,2.604100
15000,1952.169900,2366.850300,1704.563000,3.235300,3.992400
20000,3477.350900,3940.306200,3147.697300,4.711200,5.481000
25000,6031.966500,6040.881600,4381.404600,3.052100,3.691300
35000,12023.017400,11267.170700,9531.902200,4.656400,5.258000
50000,23881.402200,23858.923600,19532.929900,9.303700,7.617700
