n,bubble-sort,insertion-sort,selection-sort,stl-sort,stl-stable-sort
0,0.001100,0.000600,0.000300,0.000400,0.017500
10,0.001000,0.000600,0.002800,0.001800,0.003400
25,0.000900,0.001000,0.009700,0.004800,0.006100
50,0.001100,0.001200,0.031000,0.065200,0.007200
100,0.001800,0.002100,0.132800,0.015800,0.011100
500,0.005500,0.007300,2.566400,0.083500,0.083500
1000,0.009000,0.011900,7.227600,0.116900,0.123500
2500,0.029600,0.118900,47.637500,0.359200,0.290100
5000,0.041700,0.037900,211.698400,0.786900,0.675000
7500,0.043200,0.100900,422.585200,1.181800,1.095100
10000,0.093800,0.125800,650.192000,1.438300,1.132900
15000,0.093200,0.121000,1478.094400,2.062100,1.943900
20000,0.093000,0.150900,3144.703200,3.058700,2.527400
25000,0.116400,0.166000,5001.117500,7.054300,5.875200
35000,0.307700,0.439100,9240.041100,5.429100,4.499100
50000,0.232600,0.364300,18485.408600,15.125000,12.201000
