n,bubble-sort,insertion-sort,selection-sort,stl-sort,stl-stable-sort
0,0.000800,0.000300,0.000300,0.000400,0.000700
10,0.001200,0.000800,0.001700,0.001500,0.001800
25,0.004900,0.003100,0.005800,0.003300,0.004400
50,0.031800,0.022400,0.029300,0.006800,0.007400
100,0.058300,0.033800,0.069000,0.014200,0.016700
500,1.814700,0.965600,1.507600,0.089300,0.095800
1000,5.928300,3.530400,5.754100,0.195400,0.214400
2500,90.737600,23.779200,37.393100,0.731300,0.763400
5000,294.741000,96.692100,161.894900,1.155600,1.254700
7500,424.234800,311.856300,398.866200,1.808800,1.974700
10000,675.495000,411.975600,1077.568600,4.852200,4.974600
15000,1717.844700,1343.665900,1506.004800,3.905700,4.337600
20000,3430.372600,2142.740900,2462.494400,5.420000,5.782200
25000,5391.944800,2837.816500,4432.205100,13.034000,13.836100
35000,10063.115900,5950.439300,9668.025800,9.836400,10.483600
50000,22554.686500,12085.449200,19346.524200,14.689100,15.356200
